I0708 02:04:46.356845       1 azuredisk.go:65] 
DRIVER INFORMATION:
-------------------
Build Date: "2019-04-15T07:48:30Z"
Compiler: gc
Driver Name: disk.csi.azure.com
Driver Version: v0.2.0-alpha
Git Commit: eb37d28331fc88d4021bda2567c0ae6092aa016c
Go Version: go1.12.1
Platform: linux/amd64
Topology Key: topology.disk.csi.azure.com/zone

Streaming logs below:
I0708 02:04:46.356956       1 azure.go:32] AZURE_CREDENTIAL_FILE env var set as /etc/kubernetes/azure.json
I0708 02:04:46.357597       1 azure_auth.go:81] azure: using client_id+client_secret to retrieve access token
I0708 02:04:46.357626       1 azure.go:258] Azure cloudprovider (read ops) using rate limit config: QPS=3, bucket=10
I0708 02:04:46.357640       1 azure.go:262] Azure cloudprovider (write ops) using rate limit config: QPS=1, bucket=5
I0708 02:04:46.357750       1 azure.go:324] Azure cloudprovider using try backoff: retries=6, exponent=1.500000, duration=5, jitter=1.000000
I0708 02:04:46.357862       1 mount_linux.go:165] Detected OS without systemd
I0708 02:04:46.357879       1 driver.go:80] Enabling controller service capability: CREATE_DELETE_VOLUME
I0708 02:04:46.357886       1 driver.go:80] Enabling controller service capability: PUBLISH_UNPUBLISH_VOLUME
I0708 02:04:46.357908       1 driver.go:99] Enabling volume access mode: SINGLE_NODE_WRITER
I0708 02:04:46.357937       1 driver.go:90] Enabling node service capability: STAGE_UNSTAGE_VOLUME
I0708 02:04:46.358114       1 server.go:103] Listening for connections on address: &net.UnixAddr{Name:"//csi/csi.sock", Net:"unix"}
I0708 02:04:46.690976       1 utils.go:106] GRPC call: /csi.v1.Identity/GetPluginInfo
I0708 02:04:46.691150       1 utils.go:107] GRPC request: 
I0708 02:04:46.691235       1 identityserver.go:33] Using default GetPluginInfo
I0708 02:04:46.691256       1 utils.go:112] GRPC response: name:"disk.csi.azure.com" vendor_version:"v0.2.0-alpha" 
I0708 02:04:47.089454       1 utils.go:106] GRPC call: /csi.v1.Identity/Probe
I0708 02:04:47.089584       1 utils.go:107] GRPC request: 
I0708 02:04:47.089661       1 utils.go:112] GRPC response: ready:<value:true > 
I0708 02:04:47.091999       1 utils.go:106] GRPC call: /csi.v1.Identity/GetPluginInfo
I0708 02:04:47.092009       1 utils.go:107] GRPC request: 
I0708 02:04:47.092067       1 identityserver.go:33] Using default GetPluginInfo
I0708 02:04:47.092072       1 utils.go:112] GRPC response: name:"disk.csi.azure.com" vendor_version:"v0.2.0-alpha" 
I0708 02:04:47.093370       1 utils.go:106] GRPC call: /csi.v1.Identity/GetPluginCapabilities
I0708 02:04:47.093380       1 utils.go:107] GRPC request: 
I0708 02:04:47.093394       1 identityserver.go:59] Using default capabilities
I0708 02:04:47.093399       1 utils.go:112] GRPC response: capabilities:<service:<type:CONTROLLER_SERVICE > > 
